epoch,checkpoint_file,checkpoint_path,checkpoint_exists,evaluated,accuracy,auroc,auprc
103,epoch102.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_103.pt,1,1,0.680556,0.936069,0.983614
104,epoch103.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_104.pt,1,1,0.680556,0.938125,0.984429
105,epoch104.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_105.pt,1,1,0.670833,0.938986,0.984852
106,epoch105.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_106.pt,1,1,0.677778,0.941917,0.985987
107,epoch106.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_107.pt,1,1,0.670833,0.942875,0.986561
108,epoch107.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_108.pt,1,1,0.665278,0.941111,0.986383
109,epoch108.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_109.pt,1,1,0.666667,0.939347,0.985971
110,epoch109.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_110.pt,1,1,0.665278,0.938222,0.98551
111,epoch110.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_111.pt,1,1,0.656944,0.933097,0.9837
112,epoch111.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_112.pt,1,1,0.661111,0.931861,0.983199
113,epoch112.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_113.pt,1,1,0.669444,0.931111,0.983292
114,epoch113.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_114.pt,1,1,0.677778,0.934431,0.984114
115,epoch114.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_115.pt,1,1,0.665278,0.935931,0.984407
