epoch,epoch_gap_group,row_count,normal_count,defect_count,normal_q68,normal_q90,normal_mean,defect_q50,defect_q05,defect_mean,gap_q68_q050,tail_gap_q90_q05
105,middle,120000,60000,60000,0.0330755450,0.4074323475,0.1085205601,0.9947159886,0.3333018124,0.9137159651,0.9616404436,-0.0741305351
106,middle,120000,60000,60000,0.0320135467,0.4027941823,0.1076787205,0.9948716164,0.3318836391,0.9138592165,0.9628580697,-0.0709105432
107,middle,120000,60000,60000,0.0309877414,0.3976278901,0.1068509243,0.9950547218,0.3291331530,0.9140517328,0.9640669804,-0.0684947371
108,middle,120000,60000,60000,0.0299656242,0.3943404853,0.1060054694,0.9952237010,0.3264446557,0.9142080274,0.9652580768,-0.0678958296
109,middle,120000,60000,60000,0.0290039852,0.3896262944,0.1053408453,0.9953937531,0.3259617686,0.9144712957,0.9663897679,-0.0636645258
110,middle,120000,60000,60000,0.0282355808,0.3892756701,0.1049068089,0.9955768585,0.3265401125,0.9149740435,0.9673412777,-0.0627355576
111,middle,120000,60000,60000,0.0275030546,0.3865285516,0.1045469895,0.9957774878,0.3275501430,0.9155195678,0.9682744332,-0.0589784086
112,middle,120000,60000,60000,0.0270742886,0.3872099519,0.1043667695,0.9959477782,0.3289901912,0.9161690588,0.9688734896,-0.0582197607
113,middle,120000,60000,60000,0.0262774676,0.3861561418,0.1041291114,0.9961100221,0.3295681775,0.9167702626,0.9698325545,-0.0565879643
114,middle,120000,60000,60000,0.0257277545,0.3867709935,0.1038280648,0.9962641597,0.3297550380,0.9171809536,0.9705364052,-0.0570159555
115,middle,120000,60000,60000,0.0251455195,0.3854757547,0.1034936119,0.9964330196,0.3282492459,0.9176499337,0.9712875001,-0.0572265088
116,middle,120000,60000,60000,0.0245325007,0.3845402598,0.1030953445,0.9965648055,0.3303339183,0.9180685620,0.9720323048,-0.0542063415
117,middle,120000,60000,60000,0.0237309970,0.3818284869,0.1025228015,0.9966827035,0.3285797238,0.9182732081,0.9729517065,-0.0532487631
118,middle,120000,60000,60000,0.0229253285,0.3761303425,0.1018197080,0.9967857599,0.3291434348,0.9184492477,0.9738604314,-0.0469869077
119,middle,120000,60000,60000,0.0223639794,0.3737090528,0.1014056584,0.9969166517,0.3336865604,0.9188650747,0.9745526723,-0.0400224924
120,middle,120000,60000,60000,0.0218596682,0.3720526993,0.1011439518,0.9970593452,0.3365101814,0.9194002781,0.9751996770,-0.0355425179
121,middle,120000,60000,60000,0.0213857517,0.3714597225,0.1007511365,0.9971928000,0.3347122967,0.9197892896,0.9758070483,-0.0367474258
122,middle,120000,60000,60000,0.0209767781,0.3717321455,0.1006410148,0.9973104000,0.3389334083,0.9204283915,0.9763336219,-0.0327987372
123,middle,120000,60000,60000,0.0203762166,0.3709989786,0.1002098381,0.9974157810,0.3403411508,0.9208575691,0.9770395644,-0.0306578278
124,middle,120000,60000,60000,0.0198097397,0.3684338927,0.0999121840,0.9975390434,0.3414218128,0.9213489565,0.9777293037,-0.0270120799
125,middle,120000,60000,60000,0.0190629419,0.3684566319,0.0994930900,0.9976342916,0.3439049721,0.9218125263,0.9785713497,-0.0245516598
126,middle,120000,60000,60000,0.0185120925,0.3666033745,0.0991661877,0.9977402687,0.3441397548,0.9222624782,0.9792281762,-0.0224636197
127,middle,120000,60000,60000,0.0178887378,0.3639389873,0.0986698185,0.9978286624,0.3463729322,0.9225973069,0.9799399246,-0.0175660551
128,middle,120000,60000,60000,0.0173401795,0.3599214256,0.0981827354,0.9979268312,0.3464777768,0.9229091544,0.9805866517,-0.0134436488
129,middle,120000,60000,60000,0.0167858507,0.3567748070,0.0977701163,0.9980125427,0.3481117785,0.9232881741,0.9812266920,-0.0086630285
130,middle,120000,60000,60000,0.0161527507,0.3513959646,0.0971675380,0.9981005788,0.3499441147,0.9234725860,0.9819478281,-0.0014518499
131,middle,120000,60000,60000,0.0155624561,0.3477029502,0.0965912897,0.9981865287,0.3491218090,0.9236918578,0.9826240726,0.0014188588
132,middle,120000,60000,60000,0.0150256054,0.3479988873,0.0963591738,0.9982660413,0.3497188389,0.9241108079,0.9832404359,0.0017199516
133,middle,120000,60000,60000,0.0145198507,0.3446230292,0.0959761371,0.9983398914,0.3495370448,0.9244680351,0.9838200407,0.0049140156
134,middle,120000,60000,60000,0.0140572619,0.3425169587,0.0956793386,0.9984176159,0.3485853970,0.9248471313,0.9843603540,0.0060684383
135,middle,120000,60000,60000,0.0136601254,0.3408988118,0.0953810747,0.9984788299,0.3488886356,0.9252370645,0.9848187045,0.0079898238
136,middle,120000,60000,60000,0.0131830554,0.3380475342,0.0949830503,0.9985499978,0.3503725827,0.9255523088,0.9853669424,0.0123250485
137,middle,120000,60000,60000,0.0127230557,0.3359895051,0.0945501683,0.9986121655,0.3514500260,0.9258611812,0.9858891098,0.0154605209
138,middle,120000,60000,60000,0.0122900959,0.3334023654,0.0942035736,0.9986716509,0.3500868678,0.9261326106,0.9863815550,0.0166845024
139,middle,120000,60000,60000,0.0118241757,0.3326922655,0.0938101603,0.9987266660,0.3515731394,0.9263635995,0.9869024903,0.0188808739
140,middle,120000,60000,60000,0.0114254626,0.3296638131,0.0933722501,0.9987908006,0.3513067961,0.9265715433,0.9873653380,0.0216429830
141,middle,120000,60000,60000,0.0109519921,0.3262875080,0.0928480285,0.9988561869,0.3503571153,0.9267659846,0.9879041948,0.0240696073
142,middle,120000,60000,60000,0.0104960324,0.3230846822,0.0925404563,0.9989171028,0.3526512086,0.9270329464,0.9884210704,0.0295665264
143,middle,120000,60000,60000,0.0101224156,0.3192011416,0.0921033394,0.9989714622,0.3515698016,0.9272249705,0.9888490466,0.0323686600
144,middle,120000,60000,60000,0.0097116549,0.3178638518,0.0916887704,0.9990305901,0.3500442207,0.9274361236,0.9893189352,0.0321803689
145,middle,120000,60000,60000,0.0092810439,0.3124982417,0.0910543786,0.9990762472,0.3450017869,0.9275155414,0.9897952033,0.0325035452
146,middle,120000,60000,60000,0.0088844169,0.3061143160,0.0905190315,0.9991309047,0.3432176411,0.9276481248,0.9902464878,0.0371033251
147,middle,120000,60000,60000,0.0084925396,0.3037334085,0.0899654950,0.9991727471,0.3425137997,0.9277282210,0.9906802075,0.0387803912
