discovery_or_confirmation,arm,epoch,run_count,top1_mean,top1_std,val_loss_mean,val_loss_std,train_loss_mean,top1,val_loss,series
confirmation,R2,3,5,0.890042,0.0050475911086378,0.283736,0.0130327688539312,0.26587,0.890042,0.283736,confirmation/R2
confirmation,R2,4,5,0.87235,0.0234906815567365,0.30612,0.0415539018625206,0.28719,0.87235,0.30612,confirmation/R2
confirmation,R2,5,5,0.907908,0.0017287845441234,0.236032,0.0038176348699161,0.276372,0.907908,0.236032,confirmation/R2
confirmation,R2,6,5,0.91216,0.0019652073681929,0.226926,0.002707867057298,0.271098,0.91216,0.226926,confirmation/R2
confirmation,R2,7,5,0.91421,0.0015522757486993,0.221964,0.0024847905344314,0.269102,0.91421,0.221964,confirmation/R2
confirmation,R2,8,5,0.917442,0.0012528272027697,0.213768,0.0024400196720518,0.2702799999999999,0.917442,0.213768,confirmation/R2
confirmation,R2,9,5,0.920424,0.0003245057780687,0.2092099999999999,0.0014000999964288,0.268414,0.920424,0.2092099999999999,confirmation/R2
confirmation,R2,10,5,0.921824,0.0012187961273322,0.2055759999999999,0.0015587636126109,0.267752,0.921824,0.2055759999999999,confirmation/R2
confirmation,R2,11,5,0.92235,0.0003100322563863,0.205644,0.0006301936210403,0.266248,0.92235,0.205644,confirmation/R2
confirmation,R2,12,5,0.923682,0.0004874176853582,0.2019019999999999,0.0015934415583886,0.2664259999999999,0.923682,0.2019019999999999,confirmation/R2
