triad_id,condition_slot,phase,budget,guard_ratio,control,scope,treatment_count,control_count,overlap_count,overlap_rate,jaccard,unique_to_treatment,unique_to_control,effective_unique_contrast
TRIAD_024,A08,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_024,A08,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_024,A08,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_024,A08,A,3000,0.0,R2,all,3000,3000,2640,0.88,0.7857142857142857,360,360,0.12
TRIAD_024,A08,A,3000,0.0,R2,normal,3000,3000,2640,0.88,0.7857142857142857,360,360,0.12
TRIAD_024,A08,A,3000,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_025,A09,A,600,0.0,R1,all,600,600,0,0.0,0.0,600,600,1.0
TRIAD_025,A09,A,600,0.0,R1,normal,600,600,0,0.0,0.0,600,600,1.0
TRIAD_025,A09,A,600,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_025,A09,A,600,0.0,R2,all,600,600,559,0.9316666666666666,0.8720748829953198,41,41,0.0683333333333333
TRIAD_025,A09,A,600,0.0,R2,normal,600,600,559,0.9316666666666666,0.8720748829953198,41,41,0.0683333333333333
TRIAD_025,A09,A,600,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_026,A09,A,600,0.0,R1,all,600,600,0,0.0,0.0,600,600,1.0
TRIAD_026,A09,A,600,0.0,R1,normal,600,600,0,0.0,0.0,600,600,1.0
TRIAD_026,A09,A,600,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_026,A09,A,600,0.0,R2,all,600,600,566,0.9433333333333334,0.8927444794952681,34,34,0.0566666666666666
TRIAD_026,A09,A,600,0.0,R2,normal,600,600,566,0.9433333333333334,0.8927444794952681,34,34,0.0566666666666666
TRIAD_026,A09,A,600,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_027,A09,A,600,0.0,R1,all,600,600,0,0.0,0.0,600,600,1.0
TRIAD_027,A09,A,600,0.0,R1,normal,600,600,0,0.0,0.0,600,600,1.0
TRIAD_027,A09,A,600,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_027,A09,A,600,0.0,R2,all,600,600,562,0.9366666666666666,0.8808777429467085,38,38,0.0633333333333333
TRIAD_027,A09,A,600,0.0,R2,normal,600,600,562,0.9366666666666666,0.8808777429467085,38,38,0.0633333333333333
TRIAD_027,A09,A,600,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_028,A10,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_028,A10,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_028,A10,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_028,A10,A,3000,0.0,R2,all,3000,3000,2907,0.969,0.9398642095053348,93,93,0.031
TRIAD_028,A10,A,3000,0.0,R2,normal,3000,3000,2907,0.969,0.9398642095053348,93,93,0.031
TRIAD_028,A10,A,3000,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_029,A10,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_029,A10,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_029,A10,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_029,A10,A,3000,0.0,R2,all,3000,3000,2907,0.969,0.9398642095053348,93,93,0.031
TRIAD_029,A10,A,3000,0.0,R2,normal,3000,3000,2907,0.969,0.9398642095053348,93,93,0.031
TRIAD_029,A10,A,3000,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_030,A10,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_030,A10,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_030,A10,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_030,A10,A,3000,0.0,R2,all,3000,3000,2907,0.969,0.9398642095053348,93,93,0.031
TRIAD_030,A10,A,3000,0.0,R2,normal,3000,3000,2907,0.969,0.9398642095053348,93,93,0.031
TRIAD_030,A10,A,3000,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_031,A11,A,600,0.0,R1,all,600,600,0,0.0,0.0,600,600,1.0
TRIAD_031,A11,A,600,0.0,R1,normal,600,600,0,0.0,0.0,600,600,1.0
TRIAD_031,A11,A,600,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_031,A11,A,600,0.0,R2,all,600,600,0,0.0,0.0,600,600,1.0
TRIAD_031,A11,A,600,0.0,R2,normal,600,600,0,0.0,0.0,600,600,1.0
TRIAD_031,A11,A,600,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_032,A11,A,600,0.0,R1,all,600,600,0,0.0,0.0,600,600,1.0
TRIAD_032,A11,A,600,0.0,R1,normal,600,600,0,0.0,0.0,600,600,1.0
TRIAD_032,A11,A,600,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_032,A11,A,600,0.0,R2,all,600,600,0,0.0,0.0,600,600,1.0
TRIAD_032,A11,A,600,0.0,R2,normal,600,600,0,0.0,0.0,600,600,1.0
TRIAD_032,A11,A,600,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_033,A11,A,600,0.0,R1,all,600,600,0,0.0,0.0,600,600,1.0
TRIAD_033,A11,A,600,0.0,R1,normal,600,600,0,0.0,0.0,600,600,1.0
TRIAD_033,A11,A,600,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_033,A11,A,600,0.0,R2,all,600,600,0,0.0,0.0,600,600,1.0
TRIAD_033,A11,A,600,0.0,R2,normal,600,600,0,0.0,0.0,600,600,1.0
TRIAD_033,A11,A,600,0.0,R2,defect,0,0,0,,,0,0,
