phase,budget,training_seed,left_condition,right_condition,left_method,right_method,overlap_count,jaccard,left_overlap_rate,right_overlap_rate
A,3000,1385197443,A13,A15,BottomGap-3000-stress-control,GroupDiverse-Gap,0,0.0,0.0,0.0
A,3000,1385197443,A13,A16,BottomGap-3000-stress-control,GapResidual-Strict,26,0.004352192835621,0.0086666666666666,0.0086666666666666
A,3000,1385197443,A13,A17,BottomGap-3000-stress-control,WindowEarlyLate40,0,0.0,0.0,0.0
A,3000,1385197443,A13,A19,BottomGap-3000-stress-control,GapCritical-Strict-TimeMatched,19,0.0031767262999498,0.0063333333333333,0.0063333333333333
A,3000,1385197443,A14,A15,FoldBalanced-Gap,GroupDiverse-Gap,2191,0.5752165922814387,0.7303333333333333,0.7303333333333333
A,3000,1385197443,A14,A16,FoldBalanced-Gap,GapResidual-Strict,1431,0.3131976362442548,0.477,0.477
A,3000,1385197443,A14,A17,FoldBalanced-Gap,WindowEarlyLate40,2452,0.6910935738444194,0.8173333333333334,0.8173333333333334
A,3000,1385197443,A14,A19,FoldBalanced-Gap,GapCritical-Strict-TimeMatched,1970,0.488833746898263,0.6566666666666666,0.6566666666666666
A,3000,1385197443,A15,A16,GroupDiverse-Gap,GapResidual-Strict,1321,0.2823252831801667,0.4403333333333333,0.4403333333333333
A,3000,1385197443,A15,A17,GroupDiverse-Gap,WindowEarlyLate40,2050,0.5189873417721519,0.6833333333333333,0.6833333333333333
A,3000,1385197443,A15,A19,GroupDiverse-Gap,GapCritical-Strict-TimeMatched,1741,0.4087814040854661,0.5803333333333334,0.5803333333333334
A,3000,1385197443,A16,A17,GapResidual-Strict,WindowEarlyLate40,1032,0.2077294685990338,0.344,0.344
A,3000,1385197443,A16,A19,GapResidual-Strict,GapCritical-Strict-TimeMatched,1986,0.4947683109118087,0.662,0.662
A,3000,1385197443,A17,A19,WindowEarlyLate40,GapCritical-Strict-TimeMatched,1588,0.3599274705349048,0.5293333333333333,0.5293333333333333
A,3000,1829910790,A02,A04,GapCritical-Strict,GapCritical-Global,2854,0.9071837253655436,0.9513333333333334,0.9513333333333334
A,3000,1829910790,A02,A06,GapCritical-Strict,Confidence-Clean,934,0.1843663639952625,0.3113333333333333,0.3113333333333333
A,3000,1829910790,A02,A08,GapCritical-Strict,Boundary-0.5-Clean,1117,0.2287528158918697,0.3723333333333333,0.3723333333333333
A,3000,1829910790,A02,A10,GapCritical-Strict,Persistent-0.5-Clean,1172,0.2427506213753107,0.3906666666666666,0.3906666666666666
A,3000,1829910790,A02,A12,GapCritical-Strict,EndpointTrend,1555,0.3498312710911136,0.5183333333333333,0.5183333333333333
A,3000,1829910790,A02,A13,GapCritical-Strict,BottomGap-3000-stress-control,0,0.0,0.0,0.0
A,3000,1829910790,A02,A14,GapCritical-Strict,FoldBalanced-Gap,2795,0.8720748829953198,0.9316666666666666,0.9316666666666666
A,3000,1829910790,A02,A15,GapCritical-Strict,GroupDiverse-Gap,2166,0.564945226917058,0.722,0.722
A,3000,1829910790,A02,A16,GapCritical-Strict,GapResidual-Strict,1466,0.3233348037053374,0.4886666666666667,0.4886666666666667
A,3000,1829910790,A02,A17,GapCritical-Strict,WindowEarlyLate40,2434,0.6825574873808189,0.8113333333333334,0.8113333333333334
A,3000,1829910790,A02,A19,GapCritical-Strict,GapCritical-Strict-TimeMatched,2014,0.5052684395383843,0.6713333333333333,0.6713333333333333
A,3000,1829910790,A04,A06,GapCritical-Global,Confidence-Clean,1003,0.2007204322593556,0.3343333333333333,0.3343333333333333
A,3000,1829910790,A04,A08,GapCritical-Global,Boundary-0.5-Clean,1199,0.2497396375755051,0.3996666666666666,0.3996666666666666
A,3000,1829910790,A04,A10,GapCritical-Global,Persistent-0.5-Clean,1241,0.2607690691321706,0.4136666666666667,0.4136666666666667
A,3000,1829910790,A04,A12,GapCritical-Global,EndpointTrend,1497,0.3324450366422385,0.499,0.499
A,3000,1829910790,A04,A13,GapCritical-Global,BottomGap-3000-stress-control,0,0.0,0.0,0.0
A,3000,1829910790,A04,A14,GapCritical-Global,FoldBalanced-Gap,2735,0.8376722817764165,0.9116666666666666,0.9116666666666666
A,3000,1829910790,A04,A15,GapCritical-Global,GroupDiverse-Gap,2099,0.5380671622660856,0.6996666666666667,0.6996666666666667
A,3000,1829910790,A04,A16,GapCritical-Global,GapResidual-Strict,1402,0.3049151805132666,0.4673333333333333,0.4673333333333333
