condition_slot,condition_id,control,analysis_set,n,mean_delta_FN,std_delta_FN,worst_delta_FN,FN_one_sided_95_upper,safety_noninferior,strict_safety_improvement,mean_delta_TN,std_delta_TN,worst_delta_TN,TN_one_sided_95_lower,confirmed_TN_improvement,FN_win_rate,TN_win_rate,median_delta_TN,median_delta_FN,mean_delta_gap_q68_q050,std_delta_gap_q68_q050,median_delta_gap_q68_q050,mean_delta_tail_gap_q90_q05,std_delta_tail_gap_q90_q05,median_delta_tail_gap_q90_q05,mean_delta_normal_q68,std_delta_normal_q68,median_delta_normal_q68,mean_delta_normal_q90,std_delta_normal_q90,median_delta_normal_q90,mean_delta_defect_q50,std_delta_defect_q50,median_delta_defect_q50,mean_delta_defect_q05,std_delta_defect_q05,median_delta_defect_q05,exploratory
A16,A16_GapResidual-Strict_B3000,R2,all,3,-2.333333333333333,13.316656236958783,9.0,20.116610987310303,False,True,212.0,1440.2336615980062,-1421.0,-2216.024343067077,False,0.3333333333333333,0.6666666666666666,756.0,1.0,0.0007500091310382,0.0002269725542401,0.0007798462188971,0.0018653606035947,0.0217134694523486,0.005298774712011,-0.0003649326786884,0.0001612321741434,-0.0003015844921837,-0.0075893960255154,0.0107144638286749,-0.009698668869546,0.0003850764523497,0.0003856467582819,0.0004782617267133,-0.0057240354219207,0.0283744471270842,0.009321617165231,True
A16,A16_GapResidual-Strict_B3000,R2,same_machine,3,-2.333333333333333,13.316656236958783,9.0,20.116610987310303,False,True,212.0,1440.2336615980062,-1421.0,-2216.024343067077,False,0.3333333333333333,0.6666666666666666,756.0,1.0,0.0007500091310382,0.0002269725542401,0.0007798462188971,0.0018653606035947,0.0217134694523486,0.005298774712011,-0.0003649326786884,0.0001612321741434,-0.0003015844921837,-0.0075893960255154,0.0107144638286749,-0.009698668869546,0.0003850764523497,0.0003856467582819,0.0004782617267133,-0.0057240354219207,0.0283744471270842,0.009321617165231,True
A16,A16_GapResidual-Strict_B3000,R2,no_resume,3,-2.333333333333333,13.316656236958783,9.0,20.116610987310303,False,True,212.0,1440.2336615980062,-1421.0,-2216.024343067077,False,0.3333333333333333,0.6666666666666666,756.0,1.0,0.0007500091310382,0.0002269725542401,0.0007798462188971,0.0018653606035947,0.0217134694523486,0.005298774712011,-0.0003649326786884,0.0001612321741434,-0.0003015844921837,-0.0075893960255154,0.0107144638286749,-0.009698668869546,0.0003850764523497,0.0003856467582819,0.0004782617267133,-0.0057240354219207,0.0283744471270842,0.009321617165231,True
A17,A17_WindowEarlyLate40_B3000,R1,all,3,-1.6666666666666667,7.234178138070236,3.0,10.529104817961237,False,True,-54.0,1474.544336396841,-1309.0,-2539.867147231365,False,0.3333333333333333,0.3333333333333333,-423.0,2.0,0.0001681990810072,0.000705460089853,2.588315929641372e-05,-0.0038911257355465,0.0112104841012758,0.0023580586780062,0.000510847218958,0.0008322322104786,0.0005070652401102,-0.0089950421515869,0.0052257060227074,-0.0084803554369325,0.0006790462999652,0.0008862990612041,0.0008897106412883,-0.0128861678871335,0.0074547588501984,-0.0116571420509036,True
A17,A17_WindowEarlyLate40_B3000,R1,same_machine,2,-4.0,8.48528137423857,2.0,33.88250908805021,False,True,130.5,2035.7604230360705,-1309.0,-8958.145305374714,False,0.5,0.5,130.5,-4.0,0.0004799252877694,0.0006421125359753,0.0004799252877694,-0.0072376412095418,0.0135703689214324,-0.0072376412095418,9.378884153421647e-05,0.0005844610878749,9.378884153421647e-05,-0.0062630395957066,0.0031357581347263,-0.0062630395957066,0.0005737141293036,0.0012265736238502,0.0005737141293036,-0.0135006808052484,0.0104346107867061,-0.0135006808052484,True
A17,A17_WindowEarlyLate40_B3000,R1,cross_machine,1,3.0,0.0,3.0,,False,False,-423.0,0.0,-423.0,,False,0.0,0.0,-423.0,3.0,-0.0004552533325172,0.0,-0.0004552533325172,0.0028019052124439,0.0,0.0028019052124439,0.0013449639738057,0.0,0.0013449639738057,-0.0144590472633476,0.0,-0.0144590472633476,0.0008897106412883,0.0,0.0008897106412883,-0.0116571420509036,0.0,-0.0116571420509036,True
A17,A17_WindowEarlyLate40_B3000,R1,no_resume,3,-1.6666666666666667,7.234178138070236,3.0,10.529104817961237,False,True,-54.0,1474.544336396841,-1309.0,-2539.867147231365,False,0.3333333333333333,0.3333333333333333,-423.0,2.0,0.0001681990810072,0.000705460089853,2.588315929641372e-05,-0.0038911257355465,0.0112104841012758,0.0023580586780062,0.000510847218958,0.0008322322104786,0.0005070652401102,-0.0089950421515869,0.0052257060227074,-0.0084803554369325,0.0006790462999652,0.0008862990612041,0.0008897106412883,-0.0128861678871335,0.0074547588501984,-0.0116571420509036,True
A17,A17_WindowEarlyLate40_B3000,R2,all,3,-0.3333333333333333,4.04145188432738,4.0,6.479966354158689,False,True,-78.66666666666667,470.4788340970647,-585.0,-871.8255078633215,False,0.6666666666666666,0.6666666666666666,4.0,-1.0,-0.0001000777449479,0.0005991703077269,-5.7641236695604725e-05,-0.0082464981415645,0.0094273188442383,-0.0129906414352911,0.0003807736795079,0.0007896581276443,-1.8087556429863955e-05,-0.0007996407681233,0.0047981839269348,-0.003458613360103,0.0002806959345599,0.0009867091259106,0.0003468502846569,-0.0090461389096878,0.0086229823843571,-0.0082512867242748,True
A17,A17_WindowEarlyLate40_B3000,R2,same_machine,2,0.0,5.656854249492381,4.0,25.255006058700147,False,True,174.5,241.1234123846127,4.0,-901.9946332520936,False,0.5,1.0,174.5,0.0,-0.0003884896935372,0.0004678903747556,-0.0003884896935372,-0.0051900650818642,0.0110316808733432,-0.0051900650818642,0.0006361084530485,0.0009251728690547,0.0006361084530485,0.0006403706754565,0.0057968388150392,0.0006403706754565,0.0002476187595114,0.0013930632438104,0.0002476187595114,-0.0045496944064075,0.005234842058304,-0.0045496944064075,True
A17,A17_WindowEarlyLate40_B3000,R2,cross_machine,1,-1.0,0.0,-1.0,,False,True,-585.0,0.0,-585.0,,False,1.0,0.0,-585.0,-1.0,0.0004767461522304,0.0,0.0004767461522304,-0.0143593642609652,0.0,-0.0143593642609652,-0.0001298958675734,0.0,-0.0001298958675734,-0.0036796636552832,0.0,-0.0036796636552832,0.0003468502846569,0.0,0.0003468502846569,-0.0180390279162485,0.0,-0.0180390279162485,True
