run_slot,budget,completed_epochs,expected_steps_per_epoch_by_budget,recorded_steps_per_epoch,simple_expected_optimizer_steps,recorded_optimizer_steps_total,epochs_exact,steps_per_epoch_exact,optimizer_steps_exact,partial_step_reconciled,discarded_partial_optimizer_steps,resume_count,status
RUN_154,6000,200,985,985,197000,197000,True,True,True,False,0,0,PASS
RUN_155,6000,200,985,985,197000,197000,True,True,True,False,0,0,PASS
RUN_156,6000,200,985,985,197000,197000,True,True,True,False,0,0,PASS
RUN_157,6000,200,985,985,197000,197000,True,True,True,False,0,0,PASS
RUN_158,6000,200,985,985,197000,197000,True,True,True,False,0,0,PASS
RUN_159,6000,200,985,985,197000,197000,True,True,True,False,0,0,PASS
RUN_160,6000,200,985,985,197000,197000,True,True,True,False,0,0,PASS
RUN_161,6000,200,985,985,197000,197000,True,True,True,False,0,0,PASS
RUN_162,6000,200,985,985,197000,197000,True,True,True,False,0,0,PASS
RUN_163,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_164,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_165,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_166,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_167,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_168,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_169,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_170,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_171,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_172,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_173,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_174,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_175,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_176,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_177,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_178,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_179,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_180,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_181,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_182,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_183,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_184,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_185,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_186,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_187,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_188,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_189,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_190,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_191,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_192,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_193,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_194,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_195,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_196,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_197,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_198,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_199,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_200,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_201,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_202,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_203,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_204,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_205,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_206,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
