paper_id,title,path,bytes,sha256,source_format,selection_role,reading_rank,reading_credit_granted
P0079,Sample Selection with Uncertainty of Losses for Learning with Noisy Labels,staging/broad_freeze_canonical_repaired_v4/sources/P0079.pdf,1276395,668179BD4A809324E8FEC5375E1DB342ACC2E79FE9DE3B5DA546B464A2C7E77A,PDF,PRIMARY,60,False
P0420,Calibrating Deep Neural Networks using Explicit Regularisation and Dynamic Data Pruning,staging/broad_freeze_canonical_repaired_v4/sources/P0420.pdf,476308,8AF77F6E2390CC8E0BFC0A6C12894AABD671BA30B2F7CAD65C3A8E56208C9301,PDF,PRIMARY,61,False
P0418,Selective Experience Replay for Lifelong Learning,staging/broad_freeze_canonical_repaired_v4/sources/P0418.pdf,1691149,FAE579105B7C4614D5FAF8EA9657EEAFAE5F10F1496A23105EF0CB59B0B6D753,PDF,PRIMARY,62,False
P0259,Data Valuation Without Training of a Model,staging/broad_freeze_canonical_repaired_v4/sources/P0259.pdf,8444950,3F63D9D93703246BBC738DC150437655BB958BC6E4932B500F0B9968BF881A6E,PDF,PRIMARY,63,False
P0171,CLIPCleaner: Cleaning Noisy Labels with CLIP,staging/broad_freeze_canonical_repaired_v4/sources/P0171.pdf,2468336,82699E612C6ACE39870ACF635A3303B9E9F86D9801BE74AB896C03020272DEF0,PDF,PRIMARY,64,False
P0494,Predicting cognitive scores with graph neural networks through sample selection learning,staging/broad_freeze_canonical_repaired_v4/sources/P0494.pdf,2157120,2B364AC45FFCEE9BDDE52A40A7C48483DF3FF7CE0F2EDB897AE678BF411309A4,PDF,PRIMARY,65,False
P0085,Multi-Objective Interpolation Training for Robustness to Label Noise,staging/broad_freeze_canonical_repaired_v4/sources/P0085.pdf,2475574,D3C24F74BACFF03FE628CB9F2B7DC9DA632F90A094840FDB30AC7E4629F3D7D3,PDF,PRIMARY,66,False
P0368,S-OHEM: Stratified Online Hard Example Mining for Object Detection,staging/broad_freeze_canonical_repaired_v4/sources/P0368.pdf,950749,BE6237B976D802711E2B356B6E77D492F0EC0B9F90120B392A89F013CD951E46,PDF,PRIMARY,67,False
P0292,Enhancing Sample Selection Against Label Noise by Cutting Mislabeled Easy Examples,staging/broad_freeze_canonical_repaired_v4/sources/P0292.pdf,5429558,C0119F48CCF23F16BF3955B2A587D244EC23750E931265CC6E7CA4DD45917933,PDF,PRIMARY,68,False
P0139,Error Sensitivity Modulation based Experience Replay: Mitigating Abrupt Representation Drift in Continual Learning,staging/broad_freeze_canonical_repaired_v4/sources/P0139.pdf,616925,9686629ECAACA5EAF8FFC0C652ED8079CA9D3C1BF4D0C6FB966F0CA590847D6F,PDF,PRIMARY,69,False
P0060,Unsupervised Domain Adaptation Via Data Pruning,staging/broad_freeze_canonical_repaired_v4/sources/P0060.pdf,706607,7462A5FD57EFD0B77BCE6AE14C420EF42EE393888C41FDEE6D9649E8BA69E201,PDF,PRIMARY,70,False
P0164,Not All Data Matters: An End-to-End Adaptive Dataset Pruning Framework for Enhancing Model Performance and Efficiency,staging/broad_freeze_canonical_repaired_v4/sources/P0164.pdf,8896851,EC87BEC94614BEED856EA54388B04BF277DC2EE8CBE58CC85330C702374368C0,PDF,PRIMARY,71,False
P0443,A Robust Pneumonia Classification Approach based on Self-Paced Learning,staging/broad_freeze_canonical_repaired_v4/sources/P0443.pdf,4432307,C79FFA752ECCB366B7E3CB18C6256FF312A3EAA17C8D298A7ED6DAA304561821,PDF,PRIMARY,72,False
P0142,Learn the Time to Learn: Replay Scheduling in Continual Learning,staging/broad_freeze_canonical_repaired_v4/sources/P0142.pdf,857691,C10C3AC54DD62ED5D38ED16E0AD446194A6F2779011B2489FA0EBF1007829D4E,PDF,PRIMARY,73,False
P0055,FINE Samples for Learning with Noisy Labels,staging/broad_freeze_canonical_repaired_v4/sources/P0055.pdf,1174201,6B7C49A986065F2856F83FAD29697EEACB765F45858BFFC593B891ADCE47E6EC,PDF,PRIMARY,74,False
P0344,Generating High Fidelity Synthetic Data via Coreset selection and Entropic Regularization,staging/broad_freeze_canonical_repaired_v4/sources/P0344.pdf,1077686,92EF96E09AC577CDCE7F97C118B7FB7250F6EC1A6C85BFBA50380DEC04555C35,PDF,PRIMARY,75,False
P0006,SEEP: Training Dynamics Grounds Latent Representation Search for Mitigating Backdoor Poisoning Attacks,staging/broad_freeze_canonical_repaired_v4/sources/P0006.pdf,859326,0A0A51B5BDD2D74498EBD2CD812FF0B85EBEB4CE570261C846B58CA363D7FCE9,PDF,PRIMARY,76,False
P0327,DRIFT: Refining Instruction Data via On-Policy Data Attribution,staging/broad_freeze_canonical_repaired_v4/sources/P0327.pdf,1561725,8D071CEA2475EADBED3063DC64DCD1EC192F133C00B5A5BEC26040C867B84EB4,PDF,PRIMARY,77,False
P0491,Exploring 3D Dataset Pruning,staging/broad_freeze_canonical_repaired_v4/sources/P0491.pdf,835548,126500E8217C8420A49E2C60FDB32A0B5C32D4A5691C692FC153A79EA7CA471B,PDF,PRIMARY,78,False
