epoch,checkpoint_file,checkpoint_path,accuracy,auroc,auprc
108,epoch107.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_108.pt,0.670833,0.938278,0.984984
109,epoch108.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_109.pt,0.679167,0.941444,0.986203
110,epoch109.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_110.pt,0.673611,0.940403,0.985832
111,epoch110.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_111.pt,0.673611,0.941722,0.985969
112,epoch111.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_112.pt,0.676389,0.941486,0.985857
113,epoch112.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_113.pt,0.673611,0.939625,0.985243
114,epoch113.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_114.pt,0.683333,0.940125,0.985158
115,epoch114.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_115.pt,0.681944,0.940083,0.984608
116,epoch115.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_116.pt,0.684722,0.939903,0.98454
117,epoch116.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_117.pt,0.688889,0.938493,0.984437
118,epoch117.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_118.pt,0.672222,0.93675,0.984164
119,epoch118.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_119.pt,0.669444,0.937625,0.984669
120,epoch119.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_120.pt,0.672222,0.938167,0.985028
121,epoch120.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_121.pt,0.681944,0.941431,0.985785
122,epoch121.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_122.pt,0.673611,0.942569,0.986152
123,epoch122.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_123.pt,0.680556,0.944917,0.986874
124,epoch123.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_124.pt,0.683333,0.94466,0.986806
125,epoch124.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_125.pt,0.679167,0.943049,0.986343
126,epoch125.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_126.pt,0.680556,0.941097,0.98581
127,epoch126.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_127.pt,0.675,0.94041,0.985501
128,epoch127.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_128.pt,0.669444,0.940632,0.985273
129,epoch128.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_129.pt,0.677778,0.94134,0.985494
130,epoch129.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_130.pt,0.680556,0.940306,0.985292
