threshold,precision,recall,f1,tp,fn,fp,tn
0.999552,0.990937,0.546667,0.704619,328,272,3,117
0.999541,0.990991,0.55,0.707395,330,270,3,117
0.999541,0.991018,0.551667,0.708779,331,269,3,117
0.999528,0.991018,0.551667,0.708779,331,269,3,117
0.999505,0.991071,0.555,0.711538,333,267,3,117
0.999477,0.991071,0.555,0.711538,333,267,3,117
0.999467,0.991098,0.556667,0.712914,334,266,3,117
0.999467,0.991124,0.558333,0.714286,335,265,3,117
0.999467,0.991176,0.561667,0.717021,337,263,3,117
0.999451,0.991202,0.563333,0.718385,338,262,3,117
0.999422,0.991202,0.563333,0.718385,338,262,3,117
0.999397,0.991228,0.565,0.719745,339,261,3,117
0.999397,0.991279,0.568333,0.722458,341,259,3,117
0.999385,0.991304,0.57,0.72381,342,258,3,117
0.999362,0.991329,0.571667,0.725159,343,257,3,117
0.99936,0.991354,0.573333,0.726505,344,256,3,117
0.999351,0.991379,0.575,0.727848,345,255,3,117
0.999338,0.991404,0.576667,0.729189,346,254,3,117
0.999324,0.991404,0.576667,0.729189,346,254,3,117
0.99932,0.991429,0.578333,0.730526,347,253,3,117
0.999267,0.991453,0.58,0.731861,348,252,3,117
0.999256,0.991501,0.583333,0.734523,350,250,3,117
0.999237,0.991501,0.583333,0.734523,350,250,3,117
0.999225,0.991525,0.585,0.735849,351,249,3,117
0.999199,0.991549,0.586667,0.737173,352,248,3,117
0.999198,0.991573,0.588333,0.738494,353,247,3,117
0.999184,0.991597,0.59,0.739812,354,246,3,117
0.999177,0.991643,0.593333,0.74244,356,244,3,117
0.999176,0.991667,0.595,0.74375,357,243,3,117
0.999131,0.991667,0.595,0.74375,357,243,3,117
0.999122,0.991713,0.598333,0.746362,359,241,3,117
0.999116,0.991736,0.6,0.747664,360,240,3,117
0.999104,0.991736,0.6,0.747664,360,240,3,117
0.99909,0.991781,0.603333,0.750259,362,238,3,117
0.999082,0.991781,0.603333,0.750259,362,238,3,117
0.999041,0.991826,0.606667,0.752844,364,236,3,117
0.998982,0.991826,0.606667,0.752844,364,236,3,117
0.998932,0.99187,0.61,0.755418,366,234,3,117
0.998903,0.991892,0.611667,0.756701,367,233,3,117
0.998883,0.991914,0.613333,0.757981,368,232,3,117
0.998882,0.991914,0.613333,0.757981,368,232,3,117
