epoch,checkpoint_file,checkpoint_path,accuracy,auroc,auprc
75,epoch74.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_075.pt,0.663889,0.944903,0.987822
76,epoch75.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_076.pt,0.665278,0.941889,0.986867
77,epoch76.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_077.pt,0.688889,0.947597,0.987991
78,epoch77.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_078.pt,0.683333,0.935236,0.984446
79,epoch78.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_079.pt,0.669444,0.935639,0.984566
80,epoch79.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_080.pt,0.676389,0.935444,0.98485
81,epoch80.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_081.pt,0.665278,0.941243,0.986026
82,epoch81.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_082.pt,0.680556,0.938653,0.985853
83,epoch82.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_083.pt,0.665278,0.941056,0.986578
84,epoch83.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_084.pt,0.677778,0.936014,0.985168
85,epoch84.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_085.pt,0.668056,0.932069,0.984187
86,epoch85.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_086.pt,0.661111,0.935778,0.985525
87,epoch86.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_087.pt,0.665278,0.937986,0.986202
88,epoch87.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_088.pt,0.668056,0.939903,0.985752
89,epoch88.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_089.pt,0.673611,0.939583,0.985482
90,epoch89.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_090.pt,0.683333,0.942736,0.986743
