variant,variant_desc,threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
P1,p_abnormal + uncertainty,0.3,420,0,54,30,1.0,0.886076,0.357143,0.642857,0.0,1.0,0.892857,0.939597,0.940476,30,54,420,0
P1,p_abnormal + uncertainty,0.31,420,0,50,34,1.0,0.893617,0.404762,0.595238,0.0,1.0,0.900794,0.94382,0.93254,34,50,420,0
P1,p_abnormal + uncertainty,0.32,419,1,49,35,0.997619,0.895299,0.416667,0.583333,0.002381,0.972222,0.900794,0.943694,0.928571,35,49,419,1
P1,p_abnormal + uncertainty,0.33,418,2,49,35,0.995238,0.895075,0.416667,0.583333,0.004762,0.945946,0.89881,0.942503,0.926587,35,49,418,2
P1,p_abnormal + uncertainty,0.34,418,2,49,35,0.995238,0.895075,0.416667,0.583333,0.004762,0.945946,0.89881,0.942503,0.926587,35,49,418,2
P1,p_abnormal + uncertainty,0.35,418,2,45,39,0.995238,0.902808,0.464286,0.535714,0.004762,0.95122,0.906746,0.946772,0.918651,39,45,418,2
P1,p_abnormal + uncertainty,0.36,418,2,42,42,0.995238,0.908696,0.5,0.5,0.004762,0.954545,0.912698,0.95,0.912698,42,42,418,2
P1,p_abnormal + uncertainty,0.37,418,2,40,44,0.995238,0.912664,0.52381,0.47619,0.004762,0.956522,0.916667,0.952164,0.90873,44,40,418,2
P1,p_abnormal + uncertainty,0.38,417,3,38,46,0.992857,0.916484,0.547619,0.452381,0.007143,0.938776,0.918651,0.953143,0.902778,46,38,417,3
P1,p_abnormal + uncertainty,0.39,417,3,36,48,0.992857,0.92053,0.571429,0.428571,0.007143,0.941176,0.922619,0.955326,0.89881,48,36,417,3
P1,p_abnormal + uncertainty,0.4,417,3,35,49,0.992857,0.922566,0.583333,0.416667,0.007143,0.942308,0.924603,0.956422,0.896825,49,35,417,3
P1,p_abnormal + uncertainty,0.41,417,3,34,50,0.992857,0.924612,0.595238,0.404762,0.007143,0.943396,0.926587,0.95752,0.894841,50,34,417,3
P1,p_abnormal + uncertainty,0.42,416,4,33,51,0.990476,0.926503,0.607143,0.392857,0.009524,0.927273,0.926587,0.957422,0.890873,51,33,416,4
P1,p_abnormal + uncertainty,0.43,415,5,33,51,0.988095,0.926339,0.607143,0.392857,0.011905,0.910714,0.924603,0.956221,0.888889,51,33,415,5
P1,p_abnormal + uncertainty,0.44,414,6,33,51,0.985714,0.926174,0.607143,0.392857,0.014286,0.894737,0.922619,0.955017,0.886905,51,33,414,6
P1,p_abnormal + uncertainty,0.45,414,6,33,51,0.985714,0.926174,0.607143,0.392857,0.014286,0.894737,0.922619,0.955017,0.886905,51,33,414,6
P1,p_abnormal + uncertainty,0.46,412,8,32,52,0.980952,0.927928,0.619048,0.380952,0.019048,0.866667,0.920635,0.953704,0.880952,52,32,412,8
P1,p_abnormal + uncertainty,0.47,411,9,31,53,0.978571,0.929864,0.630952,0.369048,0.021429,0.854839,0.920635,0.953596,0.876984,53,31,411,9
P1,p_abnormal + uncertainty,0.48,366,54,22,62,0.871429,0.943299,0.738095,0.261905,0.128571,0.534483,0.849206,0.905941,0.769841,62,22,366,54
P1,p_abnormal + uncertainty,0.49,303,117,17,67,0.721429,0.946875,0.797619,0.202381,0.278571,0.36413,0.734127,0.818919,0.634921,67,17,303,117
P1,p_abnormal + uncertainty,0.5,9,411,7,77,0.021429,0.5625,0.916667,0.083333,0.978571,0.157787,0.170635,0.041284,0.031746,77,7,9,411
P1,p_abnormal + uncertainty,0.51,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P1,p_abnormal + uncertainty,0.52,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P1,p_abnormal + uncertainty,0.53,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P1,p_abnormal + uncertainty,0.54,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P1,p_abnormal + uncertainty,0.55,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P1,p_abnormal + uncertainty,0.56,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P1,p_abnormal + uncertainty,0.57,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P1,p_abnormal + uncertainty,0.58,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P1,p_abnormal + uncertainty,0.59,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P1,p_abnormal + uncertainty,0.6,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P1,p_abnormal + uncertainty,0.61,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P1,p_abnormal + uncertainty,0.62,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P1,p_abnormal + uncertainty,0.63,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P1,p_abnormal + uncertainty,0.64,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P1,p_abnormal + uncertainty,0.65,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P1,p_abnormal + uncertainty,0.66,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P1,p_abnormal + uncertainty,0.67,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
